FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150824;0000;118,481;;;
150825;0000;14,2463;;;
150826;0000;64,775;;;
150827;0000;156,249;;;
150828;0000;154,585;;;
150829;0000;110,68;;;
150830;0000;52,2117;;;
150831;0000;69,2635;;;
150901;0000;55,2581;;;
150902;0000;57,9203;;;
150903;0000;61,0559;;;
150904;0000;;;;
150905;0000;57,2617;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;45,2223;;;
150909;0000;29,9649;;;
150910;0000;17,8469;;;
150911;0000;39,1752;;;
150912;0000;41,18;;;
150913;0000;54,1795;;;
150914;0000;85,9222;;;
150915;0000;32,2474;;;
150916;0000;40,0341;;;
150917;0000;4,42917;;;
150918;0000;16,8898;;;
150919;0000;17,2617;;;
150920;0000;10,8858;;;
150921;0000;2,62017;;;
150922;0000;4,96961;;;
150923;0000;37,3672;;;
150924;0000;11,4578;;;
150925;0000;76,0238;;;
150926;0000;49,1122;;;
150927;0000;46,6455;;;
150928;0000;31,3588;;;
150929;0000;34,4577;;;
150930;0000;35,9817;;;
151001;0000;6,33201;;;
151002;0000;31,8093;;;
151003;0000;40,5468;;;
151004;0000;2,58817;;;
151005;0000;7,75495;;;
151006;0000;6,60422;;;
151007;0000;8,18993;;;
151008;0000;40,8212;;;
151009;0000;31,5227;;;
151010;0000;34,5676;;;
151011;0000;17,5199;;;
151012;0000;17,9127;;;
151013;0000;22,6635;;;
151014;0000;9,90567;;;
151015;0000;25,7681;;;
151016;0000;47,5246;;;
151017;0000;73,3387;;;
151018;0000;23,4954;;;
151019;0000;11,9025;;;
151020;0000;37,6709;;;
151021;0000;12,4687;;;
151022;0000;33,9095;;;
151023;0000;36,3879;;;
151024;0000;12,544;;;
151025;0000;18,0888;;;
151026;0000;16,4715;;;
151027;0000;20,648;;;
151028;0000;4,79734;;;
151029;0000;6,9774;;;
151030;0000;4,5945;;;
151031;0000;2,65342;;;
151101;0000;4,71479;;;
151102;0000;5,13922;;;
151103;0000;7,98245;;;
151104;0000;10,8287;;;
151105;0000;31,2038;;;
