FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150816;0000;18,97;;;
150817;0000;25,5092;;;
150818;0000;37,7012;;;
150819;0000;43,81;;;
150820;0000;33,4232;;;
150821;0000;18,2897;;;
150822;0000;20,3026;;;
150823;0000;28,873;;;
150824;0000;42,4414;;;
150825;0000;23,063;;;
150826;0000;27,5928;;;
150827;0000;49,8927;;;
150828;0000;53,4266;;;
150829;0000;34,4262;;;
150830;0000;26,1549;;;
150831;0000;31,9523;;;
150901;0000;32,8692;;;
150902;0000;35,9788;;;
150903;0000;41,5669;;;
150904;0000;;;41,8117;
150905;0000;21,9102;;;
150906;0000;;;;
150907;0000;;;15,5977;
150908;0000;18,402;;;
150909;0000;17,8326;;;
150910;0000;16,5726;;;
150911;0000;21,8728;;;
150912;0000;27,2166;;;
150913;0000;27,2816;;;
150914;0000;37,6456;;;
150915;0000;24,7301;;;
150916;0000;19,4747;;;
150917;0000;10,279;;;
150918;0000;10,4661;;;
150919;0000;15,4238;;;
150920;0000;11,9002;;;
150921;0000;10,1802;;;
150922;0000;15,4671;;;
150923;0000;20,2915;;;
150924;0000;19,1281;;;
150925;0000;28,9163;;;
150926;0000;24,1949;;;
150927;0000;29,7898;;;
150928;0000;27,0085;;;
150929;0000;26,6327;;;
150930;0000;22,1347;;;
151001;0000;14,5302;;;
151002;0000;21,4672;;;
151003;0000;21,158;;;
151004;0000;11,2715;;;
151005;0000;16,8532;;;
151006;0000;16,3737;;;
151007;0000;14,6764;;;
151008;0000;23,0533;;;
151009;0000;22,4521;;;
151010;0000;22,8333;;;
151011;0000;18,9587;;;
151012;0000;20,471;;;
151013;0000;24,0652;;;
151014;0000;16,7243;;;
151015;0000;18,5361;;;
151016;0000;22,1344;;;
151017;0000;24,9958;;;
151018;0000;16,9764;;;
151019;0000;16,2413;;;
151020;0000;20,7549;;;
151021;0000;16,6458;;;
151022;0000;24,1794;;;
151023;0000;26,2124;;;
151024;0000;15,038;;;
151025;0000;11,136;;;
151026;0000;15,0382;;;
151027;0000;18,8206;;;
151028;0000;12,6681;;;
151029;0000;15,9246;;;
151030;0000;14,725;;;
151031;0000;13,9452;;;
151101;0000;11,8355;;;
151102;0000;13,5728;;;
151103;0000;13,5755;;;
151104;0000;19,1279;;;
151105;0000;23,8991;;;
151106;0000;16,055;;;
151107;0000;10,1743;;;
151108;0000;;;9,59489;
151109;0000;;;11,9973;
151110;0000;;;13,4861;
151111;0000;9,58984;;;
151112;0000;;;15,6933;
151113;0000;20,7858;;;
151114;0000;17,8669;;;
151115;0000;;;9,6898;
151116;0000;10,4728;;;
151117;0000;10,0723;;;
151118;0000;9,22462;;;
151119;0000;;;11,2106;
151120;0000;19,6667;;;
151121;0000;11,9007;;;
151122;0000;;;10,2164;
151123;0000;;;11,3486;
151124;0000;8,59576;;;
151125;0000;9,66524;;;
151126;0000;9,33881;;;
151127;0000;12,1558;;;
151128;0000;;;12,9224;
151129;0000;;;14,3738;
151130;0000;;;15,6142;
151201;0000;;;15,243;
151202;0000;;;10,3412;
151203;0000;;;17,4363;
151204;0000;;;21,0127;
151205;0000;;;15,8484;
151206;0000;;;10,8449;
151207;0000;;;14,666;
151208;0000;;;;
151209;0000;;;19,6447;
151210;0000;;;27,0467;
151211;0000;;;23,3287;
151212;0000;;;15,272;
151213;0000;;;7,56018;
151214;0000;;;15,3808;
151215;0000;;;23,0397;
151216;0000;;;;
151217;0000;;;;
151218;0000;;;10,2358;
151219;0000;;;14,4322;
151220;0000;;;;
151221;0000;;;8,27524;
151222;0000;;;10,6286;
151223;0000;;;9,53334;
151224;0000;;;;
151225;0000;;;13,7258;
151226;0000;;;16,4919;
151227;0000;;;13,0178;
151228;0000;;;14,743;
151229;0000;;;12,3148;
151230;0000;;;9,44211;
151231;0000;;;12,0926;
160101;0000;;;6,728;
160102;0000;;;6,46376;
160103;0000;;;9,8912;
160104;0000;;;17,0856;
160105;0000;;;25,8831;
160106;0000;;;17,2789;
160107;0000;;;9,02081;
160108;0000;;;9,18864;
160109;0000;;;11,9143;
160110;0000;;;8,2963;
160111;0000;;;8,27545;
160112;0000;;;10,9201;
160113;0000;;;17,6944;
160114;0000;;;11,2326;
160115;0000;;;16,603;
160116;0000;;;13,8889;
160117;0000;;;14,9421;
160118;0000;;;19,6331;
160119;0000;;;16,3264;
160120;0000;;;17,8495;
160121;0000;;;9,74767;
160122;0000;;;12,728;
160123;0000;;;;
160124;0000;;;7,91666;
160125;0000;18,1743;;;
160126;0000;12,096;;;
160127;0000;;;;
160128;0000;11,4335;;;
160129;0000;10,0329;;;
160130;0000;12,8362;;;
160131;0000;9,64781;;;
160201;0000;7,34431;;;
160202;0000;8,08241;;;
160203;0000;8,12572;;;
160204;0000;6,96428;;;
160205;0000;7,95092;;;
160206;0000;7,82743;;;
160207;0000;2,9578;;;
160208;0000;8,63446;;;
160209;0000;13,4993;;;
160210;0000;10,3455;;;
160211;0000;8,63194;;;
160212;0000;6,52645;;;
160213;0000;7,96925;;;
160214;0000;11,7393;;;
160215;0000;14,9955;;;
160216;0000;7,47116;;;
160217;0000;11,0621;;;
160218;0000;9,54797;;;
160219;0000;18,0085;;;
160220;0000;15,2604;;;
160221;0000;8,52827;;;
160222;0000;13,697;;;
160223;0000;18,3202;;;
160224;0000;;;30,231;
160225;0000;16,7714;;;
160226;0000;13,0488;;;
160227;0000;18,5159;;;
160228;0000;13,404;;;
160229;0000;21,3011;;;
160301;0000;24,591;;;
160302;0000;25,3463;;;
160303;0000;22,7291;;;
160304;0000;22,9426;;;
160305;0000;14,3954;;;
160306;0000;3,92424;;;
160307;0000;9,7823;;;
160308;0000;17,2655;;;
160309;0000;24,3833;;;
160310;0000;19,1721;;;
160311;0000;17,3589;;;
160312;0000;12,1409;;;
160313;0000;15,2326;;;
